"Story","Title","Result","Date","Stability","Duration (s)"
"Realizar cargue de inventario","Cargar inventario","FAILURE","2024-10-16T09:22:24.9414538-05:00[America/Bogota]","0.0","42.48"
"Compra de una Experiencia","Compra de experiencia por puntos exitosa","SUCCESS","2024-10-17T14:07:16.2740925-05:00[America/Bogota]","0.0","183.32"
"Login Administrador","Login de usuario administrador exitoso","SUCCESS","2024-10-16T09:23:39.6263142-05:00[America/Bogota]","0.0","21.75"
"Login usuario","Login de usuario exitoso","SUCCESS","2024-10-18T10:30:00.8830591-05:00[America/Bogota]","0.0","24.28"
