"Story","Title","Result","Date","Stability","Duration (s)"
"Compra de una Experiencia","Compra de experiencia por puntos exitosa","ERROR","2024-09-19T10:51:18.0120837-05:00[America/Bogota]","0.0","54.03"
"Compra con Puntos + Otro medio de pago","Compra con Puntos + Otro","ERROR","2024-09-19T10:40:58.1118752-05:00[America/Bogota]","0.0","65.35"
